NUMERO,GRUPO,DESCRIPCION,clase,tipo,aplazar,conciliar,sector
2133,2001003011,Retornos a Pagar,a pagar,"pasivo corriente",x,,
214,2001004,Deudas Fiscales,vista,,,,
2141,2001004001,A.F.I.P. Deuda,vista,,,,
21411,2001004001001,IVA D??bito Fiscal,existencias,"pasivo corriente",x,,
21412,2001004001002,Iva a Pagar,a pagar,"pasivo corriente",x,,
21413,2001004001003,Impuesto a las Ganancias a Pagar,a pagar,"pasivo corriente",x,,
21414,2001004001004,Impuesto Ley 23427 a Pagar,a pagar,"pasivo corriente",x,,
21415,2001004001005,Plan Facilidades D478079,a pagar,"pasivo corriente",x,,
21416,2001004001006,Ret. Ganancias a Depositar,a pagar,"pasivo corriente",x,,
2142,2001004002,D.G.R.,vista,,,,
21421,2001004002001,Impuesto sobre los Ingresos Brutos a Pagar,a pagar,"pasivo corriente",x,,
215,2001005,Otras Deudas,vista,,,,
2151,2001005001,Acreedores Varios,vista,,,,
21511,2001005001001,Acreedores Varios,a pagar,"pasivo corriente",x,,
21512,2001005001002,Prestamos Asociados,a pagar,"pasivo corriente",x,,
22,2002,Pasivo No Corriente",vista,,,,
221,2002001,Cuentas por Pagar,vista,"pasivo no corriente",,,
222,2002002,Previsiones,vista,"pasivo no corriente",,,
3,3,"Patrimonio Neto",vista,,,,
31,3001,Capital,vista,,,,
311,3001001,Capital Cooperativo,vista,,,,
312,3001002,Capital socio,otro,"patrimonio neto",x,,
32,3002,Ajustes al Capital,vista,,,,
321,3002001,Ajustes al Capital,otro,"patrimonio neto",x,,
33,3003,Ganancias Reservadas,vista,,,,
331,3003001,Reserva Legal,otro,"patrimonio neto",x,,
332,3003002,Reserva Especial Art. 42,otro,"patrimonio neto",x,,
333,3003003,Fondo de Educ. y Prom. Coop.,otro,"patrimonio neto",x,,
334,3003004,Fondo de Acci??n Asist.Lab.,otro,"patrimonio neto",x,,
34,3004,Resultados no Asignados,vista,,,,
341,3004001,Resultados no Asignados,otro,"patrimonio neto",x,,
342,3004002,Resultado del Ejercicio,otro,"patrimonio neto",x,,
4,4,RESULTADOS,vista,,,,
41,4001,GASTOS INDIRECTOS,vista,,,,
411,4001001,GASTOS INDIRECTOS (Adm+Com),vista,,,,
4112,4001001002,SECC.ADMINISTRACION,vista,,,,
411221,4001001002021,Sueldos-ADM-,gastos,"gastos indirectos",x,,Administracion
411222,4001001002022,Aportes Seg.Social-ADM-,gastos,"gastos indirectos",x,,Administracion
411223,4001001002023,Bonif. Pers. a Jubilarse-ADM-,gastos,"gastos indirectos",x,,Administracion
411224,4001001002024,Tickets Canasta-ADM-,gastos,"gastos indirectos",x,,Administracion
411225,4001001002025,Gtos.p/Medicamentos -ADM-,gastos,"gastos indirectos",x,,Administracion
411226,4001001002026,Ropa de Trab.-ADM-,gastos,"gastos indirectos",x,,Administracion
411231,4001001002031,Combustibles y Lub.-ADM-,gastos,"gastos indirectos",x,,Administracion
411232,4001001002032,Mant.de Redes e Instalac.-ADM-,gastos,"gastos indirectos",x,,Administracion
411241,4001001002041,Manten.y Rep.Rodados-ADM-,gastos,"gastos indirectos",x,,Administracion
411242,4001001002042,Publicidad y Propaganda-ADM-,gastos,"gastos indirectos",x,,Administracion
411243,4001001002043,Honorarios y Gtos.Legales-ADM-,gastos,"gastos indirectos",x,,Administracion
411244,4001001002044,Cuotas C??maras Empresarias-ADM,gastos,"gastos indirectos",x,,Administracion
411245,4001001002045,Franqueo y Tel??fono-ADM-,gastos,"gastos indirectos",x,,Administracion
411246,4001001002046,Seguros-ADM-,gastos,"gastos indirectos",x,,Administracion
411247,4001001002047,Matafuegos-ADM-,gastos,"gastos indirectos",x,,Administracion
411253,4001001002053,Serv.de Comput.e Imprenta-ADM-,gastos,"gastos indirectos",x,,Administracion
411262,4001001002062,Diferencias de Caja-ADM-,gastos,"gastos indirectos",x,,Administracion
411263,4001001002063,Movilidad y Vi??ticos-ADM-,gastos,"gastos indirectos",x,,Administracion
411265,4001001002065,Depreciaciones-ADM-,gastos,"gastos indirectos",x,,Administracion
411268,4001001002068,Gtos.Reun.Consejo de Adm.-ADM-,gastos,"gastos indirectos",x,,Administracion
411269,4001001002069,Gastos Diversos-ADM-,gastos,"gastos indirectos",x,,Administracion
411270,4001001002070,"Cenas, Refrigerios y agasajos-ADM-",gastos,"gastos indirectos",x,,Administracion
411271,4001001002071,"Impuestos,Tasas y Cont.-ADM-",gastos,"gastos indirectos",x,,Administracion
411273,4001001002073,"Deb y Cr??d,Ley 25413-ADM-",gastos,"gastos indirectos",x,,Administracion
411282,4001001002082,Papeles e Insumos de Oficina-ADM-,gastos,"gastos indirectos",x,,Administracion
4113,4001001003,SEC. COMERCIALIZACION,vista,, ,,
411321,4001001003021,Sueldos-Com-,gastos,"gastos indirectos",x,,Comercializacion
411322,4001001003022,Aportes Seg.Social-Com-,gastos,"gastos indirectos",x,,Comercializacion
411323,4001001003023,Bonificacione Pers. A Jub-Com-,gastos,"gastos indirectos",x,,Comercializacion
411325,4001001003025,Gastos por Medic.-Com-,gastos,"gastos indirectos",x,,Comercializacion
411326,4001001003026,Ropa de Trab-Com-,gastos,"gastos indirectos",x,,Comercializacion
411346,4001001003046,Seguros-Com,gastos,"gastos indirectos",x,,Comercializacion
4114,4001001004,Amortiz.Software de Aplicaci??n,gastos,"gastos indirectos",x,,Administracion
4115,4001001005,Descuentos Obtenidos administraci??n-Adm-,gastos,"gastos indirectos",x,,Administracion
4116,4001001006,Intereses Moratorios Cobrados-Adm-,gastos,"gastos indirectos",x,,Administracion
4117,4001001007,Intereses p/Refinanciacion-Adm,gastos,"gastos indirectos",x,,Administracion
4118,4001001008,Bonificaciones Obtenidas-Adm-,gastos,"gastos indirectos",x,,Administracion
42,4002,SECC.ENERGIA ELECTRICA,vista,, ,,
421,4002001,RESULTADOS ORD.OPERATIVOS-EE-,vista,, ,,
4211,4002001001,Ingreso operativo seccional,vista,, ,,
421110,4002001001010,Vtas p/Distrib.Energ??a El???ct.,ingresos,"seccion energia electrica ingresos",x,,Energia
421111,4002001001011,Vtas a Usuarios T1,ingresos,"seccion energia electrica ingresos",x,,Energia
421112,4002001001012,Vtas a Usuarios T2,ingresos,"seccion energia electrica ingresos",x,,Energia
421113,4002001001013,Vtas a Usuarios T3,ingresos,"seccion energia electrica ingresos",x,,Energia
421114,4002001001014,Vtas a Usuarios TIS,ingresos,"seccion energia electrica ingresos",x,,Energia
421115,4002001001015,Vtas a Usuarios PIMT,ingresos,"seccion energia electrica ingresos",x,,Energia
42112,4002001001002,Fdo.Compensador Tarifario,ingresos,"seccion energia electrica ingresos",x,,Energia
42119,4002001001009,Contrib.por Obras Art.12??,ingresos,"seccion energia electrica ingresos",x,,Energia
421118,4002001001018,Vtas p/ transf.de serv.a ot/ sec.EE,ingresos,"seccion energia electrica ingresos",x,,Energia
4212,4002001002,Costos,vista,, ,,
421201,4002001002001,Costo de Energ??a Comprada,gastos,"seccion energia electrica egresos",x,,Energia
4213,4002001003,Gastos de Explotaci??n-Directos-,vista,, ,,
42131,4002001003001,Remuneraciones,vista,, ,,
421311,4002001003001000,Sueldos-EE-,gastos,"seccion energia electrica egresos",x,,Energia
421312,4002001003001000,Aportes Seg.Social-EE-,gastos,"seccion energia electrica egresos",x,,Energia
421313,4002001003001000,Bonif.Personal a Jubilarse-EE,gastos,"seccion energia electrica egresos",x,,Energia
421314,4002001003001000,Tickets Canasta-EE-,gastos,"seccion energia electrica egresos",x,,Energia
421316,4002001003001010,Ropa de Trabajo y Elem. Prot-EE-,gastos,"seccion energia electrica egresos",x,,Energia
42133,4002001003003,Mantenimiento,vista,, ,,
421331,4002001003003000,Comb.y Lub.-EE-,gastos,"seccion energia electrica egresos",x,,Energia
421332,4002001003003000,Mant.de Redes e Instalac.-EE-,gastos,"seccion energia electrica egresos",x,,Energia
42134,4002001003004,Serv.de Terceros,vista,, ,,
421341,4002001003004000,Mantenim.y Rep.Rodados-EE-,gastos,"seccion energia electrica egresos",x,,Energia
421342,4002001003004000,Publicidad y Propaganda-EE-,gastos,"seccion energia electrica egresos",x,,Energia
421343,4002001003004000,Honorarios y Gtos.Legales -EE-,gastos,"seccion energia electrica egresos",x,,Energia
421344,4002001003004000,Cuotas C??maras Empresarias-EE-,gastos,"seccion energia electrica egresos",x,,Energia
421345,4002001003004010,Franqueo y Tel???fono-EE-,gastos,"seccion energia electrica egresos",x,,Energia
421346,4002001003004010,Seguros-EE-,gastos,"seccion energia electrica egresos",x,,Energia
421347,4002001003004010,Matafuegos-EE-,gastos,"seccion energia electrica egresos",x,,Energia
421348,4002001003004010,Comisiones-EE-,gastos,"seccion energia electrica egresos",x,,Energia
421349,4002001003004010,Fletes-EE-,gastos,"seccion energia electrica egresos",x,,Energia
4213410,4002001003004010,Serv.de Comput.e Imprenta-EE-,gastos,"seccion energia electrica egresos",x,,Energia
4213411,4002001003004010,Expansion de Transporte EE,gastos,"seccion energia electrica egresos",x,,Energia
42136,4002001003006,Varios,vista,, ,,
421362,4002001003006000,Luz y Gas Jubilados-EE-,gastos,"seccion energia electrica egresos",x,,Energia
421363,4002001003006000,Movilidad y Vi??ticos-EE-,gastos,"seccion energia electrica egresos",x,,Energia
421364,4002001003006000,Incobrables-EE-,gastos,"seccion energia electrica egresos",x,,Energia
421365,4002001003006010,Depreciaciones-EE-,gastos,"seccion energia electrica egresos",x,,Energia
421369,4002001003006010,Gastos Diversos-EE-,gastos,"seccion energia electrica egresos",x,,Energia
42137,4002001003007,Impuestos,vista,, ,,
421371,4002001003007000,"Impuestos,Tasas y Cont.-EE-",gastos,"seccion energia electrica egresos",x,,Energia
421372,4002001003007000,Agregado Tarifario,gastos,"seccion energia electrica egresos",x,,Energia
421373,4002001003007000,D??bitos y Cr??ditos Brios.L.25413,gastos,"seccion energia electrica egresos",x,,Energia
4214,4002001004,Gtos.de Comercializaci??n-Directos-,vista,, ,,
42144,4002001004004,Serv.de Terceros,vista,, ,,
421442,4002001004004000,Publicidad y Propaganda-EE??,gastos,"seccion energia electrica egresos",x,,Energia
421443,4002001004004000,Serv.de Comput.e Imprenta-EE-??,gastos,"seccion energia electrica egresos",x,,Energia
42146,4002001004006,Varios,vista,, ,,
421464,4002001004006000,Incobrables-EE (c),gastos,"seccion energia electrica egresos",x,,Energia
4217,4002001007,Gtos.de Comercializaci??n-Indirectos-,vista,, ,,
42171,4002001007001,Gtos Indirect. de Com.-EE-,gastos,"seccion energia electrica egresos",x,,Energia
4218,4002001008,Gtos.de Administracion-Indirectos-,vista,, ,,
42181,4002001008001,Gtos Indirect.de Adm.-EE-,gastos,"seccion energia electrica egresos",x,,Energia
422,4002002,RESULTADOS ORD.NO OPERATIVOS-E,vista,, ,,
4221,4002002001,Prest.del Serv.-EE-,ingresos,"seccion energia electrica ingresos",x,,Energia
4222,4002002002,Gastos Recuperados-EE-,ingresos,"seccion energia electrica ingresos",x,,Energia
4223,4002002003,Cargo p/Serv.de Conexion-EE-,ingresos,"seccion energia electrica ingresos",x,,Energia
4224,4002002004,Vtas.Materiales p/Conexi??n-EE-,ingresos,"seccion energia electrica ingresos",x,,Energia
4225,4002002005,Recupero Faltante Caja E.E.,ingresos,"seccion energia electrica ingresos",x,,Energia
4227,4002002007,Costo de Vta.Lineas Rurales-EE-,gastos,"seccion energia electrica egresos",x,,Energia
423,4002003,RESULTADOS FINANCIEROS-EE-,vista,, ,,
4231,4002003001,Intereses Morat.Cobrados-EE-,ingresos,"seccion energia electrica ingresos",x,,Energia
4232,4002003002,Int.Finan.Carg.p/Serv.Cone.EE,ingresos,"seccion energia electrica ingresos",x,,Energia
4233,4002003003,Intereses p/Fin.p/contrib.p/obras,ingresos,"seccion energia electrica ingresos",x,,Energia
4234,4002003004,Intereses Ganados-EE-,ingresos,"seccion energia electrica ingresos",x,,Energia
4235,4002003005,Diferencia de Cambio,ingresos,"seccion energia electrica ingresos",x,,Energia
4236,4002003006,"Com.,Int.y Gtos Brios-EE-",gastos,"seccion energia electrica egresos",x,,Energia
4237,4002003007,Result.Fin.y p/Ten.(Inclu??do RECPAM),ingresos,"seccion energia electrica ingresos",x,,Energia
424,4002004,RESULTADOS EXTRAORDINARIOS-EE-,vista,, ,,
4241,4002004001,Siniestros B.de Uso-EE-,gastos,"seccion energia electrica egresos",x,,Energia
4242,4002004002,Indemnizaci??n p/Da??os y Perjuicios-EE-,gastos,"seccion energia electrica egresos",x,,Energia
43,4003,SECC.AGUA POTABLE,vista,, ,,
431,4003001,RESULTADOS ORD.OPERATIVOS-AP-,vista,, ,,
4311,4003001001,Ingreso operativo seccional,vista,, ,,
43111,4003001001001,Tasa Operativa-AP-,ingresos,"seccion agua potable ingresos",x,,Agua Potable
43112,4003001001002,Vtas p/transf.de serv a ot.sec.-AP-,ingresos,"seccion agua potable ingresos",x,,Agua Potable
4312,4003001002,Costos,ingresos,"seccion agua potable ingresos",x,,Agua Potable
4313,4003001003,Gastos de Explotacion-Directos-,vista,, ,,
43131,4003001003001,Remuneraciones,gastos,"seccion agua potable egresos",x,,Agua Potable
431311,4003001003001000,Sueldos-AP-,gastos,"seccion agua potable egresos",x,,Agua Potable
431312,4003001003001000,Aportes Seg.Social-AP-,gastos,"seccion agua potable egresos",x,,Agua Potable
431314,4003001003001000,Tickets Canasta-AP-,gastos,"seccion agua potable egresos",x,,Agua Potable
431315,4003001003001010,Gtos p/Medicamentos-AP-,gastos,"seccion agua potable egresos",x,,Agua Potable
431316,4003001003001010,Ropa de Trabajo-AP-,gastos,"seccion agua potable egresos",x,,Agua Potable
43133,4003001003003,Mantenimiento,vista,,,,
431331,4003001003003000,Combustibles y Lub.-AP-,gastos,"seccion agua potable egresos",x,,Agua Potable
431332,4003001003003000,Mant.de Redes e Instalac.-AP-,gastos,"seccion agua potable egresos",x,,Agua Potable
43134,4003001003004,Serv.de Terceros,vista,,,,
431341,4003001003004000,Mantenim.y Rep.Rodados-AP,gastos,"seccion agua potable egresos",x,,Agua Potable
431342,4003001003004000,Publicidad y Propaganda-AP-,gastos,"seccion agua potable egresos",x,,Agua Potable
431343,4003001003004000,Honorarios y Gtos.Legales-AP-,gastos,"seccion agua potable egresos",x,,Agua Potable
431345,4003001003004010,Franqueo y Tel??fono-AP-,gastos,"seccion agua potable egresos",x,,Agua Potable
431346,4003001003004010,Seguros-AP-,gastos,"seccion agua potable egresos",x,,Agua Potable
431347,4003001003004010,Matafuegos-AP-,gastos,"seccion agua potable egresos",x,,Agua Potable
431349,4003001003004010,Fletes-AP-,gastos,"seccion agua potable egresos",x,,Agua Potable
4313410,4003001003004010,Gastos de Laboratorios-AP-,gastos,"seccion agua potable egresos",x,,Agua Potable
43136,4003001003006,Varios,vista,,,,
431363,4003001003006000,Movilidad y Viaticos A.P.,gastos,"seccion agua potable egresos",x,,Agua Potable
431364,4003001003006000,Incobrables-AP-,gastos,"seccion agua potable egresos",x,,Agua Potable
431365,4003001003006000,Depreciaciones-AP-,gastos,"seccion agua potable egresos",x,,Agua Potable
431369,4003001003006010,Gtos.Diversos -AP-,gastos,"seccion agua potable egresos",x,,Agua Potable
43137,4003001003007,Impuestos,vista,,,,
431371,4003001003007000,"Impuestos,Tasas y Cont.-AP-",gastos,"seccion agua potable egresos",x,,Agua Potable
431373,4003001003007000,D??bitos y Cr??d. Brios.L.25413-AP-,gastos,"seccion agua potable egresos",x,,Agua Potable
43138,4003001003008,Insumos,vista,,,,
431381,4003001003008000,Gtos Energ??a El???ct-AP-,gastos,"seccion agua potable egresos",x,,Agua Potable
431383,4003001003008000,Insumos Varios-AP-,gastos,"seccion agua potable egresos",x,,Agua Potable
4314,4003001004,Gtos.de Comercializaci??n-Directos-,vista,,,,
43146,4003001004006,Varios,vista,,,,
431464,4003001004006000,Incobrables-AP (c),gastos,"seccion agua potable egresos",x,,Agua Potable
4317,4003001007,Gtos de Comercializaci??n-Indirectos-,vista,,,,
43171,4003001007001,Gtos Ind.de Com.-AP-,gastos,"seccion agua potable egresos",x,,Agua Potable
4318,4003001008,Gtos de Administracion-Indirectos-,vista,,,,
43181,4003001008001,Gtos Ind.de Adm.-AP-,gastos,"seccion agua potable egresos",x,,Agua Potable
432,4003002,RESULTADOS ORD.NO OPERATIVOS-Ap,vista,,,,
4321,4003002001,Derechos de Conexi??n-AP-,ingresos,"seccion agua potable ingresos",x,,Agua Potable
4322,4003002002,Gtos.Recuperados -AP-,ingresos,"seccion agua potable ingresos",x,,Agua Potable
433,4003003,RESULTADOS FINANCIEROS-AP-,vista,,,,
4331,4003003001,Intereses Morat.Cobrados-AP-,ingresos,"seccion agua potable ingresos",x,,Agua Potable
4332,4003003002,Intereses Ganados-AP-,ingresos,"seccion agua potable ingresos",x,,Agua Potable
4333,4003003003,"Com.,Int.y Gtos Brios-AP-",gastos,"seccion agua potable egresos",x,,Agua Potable
4334,4003003004,Result.Fin.y p/Ten.(Inclu??do RECPAM),ingresos,"seccion agua potable ingresos",x,,Agua Potable
434,4003004,RESULTADOS EXTRAORDINARIOS-AP-,vista,,,,
4341,4003004001,Siniestros B.de Uso-AP-,gastos,"seccion agua potable egresos",x,,Agua Potable
4342,4003004002,Indemnizaci??n p/Da??os y Perjuicios-AP-,gastos,"seccion agua potable egresos",x,,Agua Potable
44,4004,SECC.SERVICIO SEPELIO,vista,,,,
441,4004001,RESULTADOS ORD.OPERATIVOS-SS-,vista,,,,
4411,4004001001,Ingreso operativo seccional,vista,,,,
44111,4004001001001,Cuotas Serv.Sepelio-Asoc-,ingresos,"seccion servicios sepelio ingresos",x,,Sepelio
44112,4004001001002,Serv.Prest.a no Adheridos-SS-,ingresos,"seccion servicios sepelio ingresos",x,,Sepelio
4412,4004001002,Costos,vista,,,,
44121,4004001002001,Costo de Serv.Sepelios,gastos,"seccion servicios sepelio egresos",x,,Sepelio
4413,4004001003,Gastos de Explotaci??n-Directos-,vista,,,,
44131,4004001003001,Remuneraciones,vista,,,,
441311,4004001003001000,Sueldos-SS-,gastos,"seccion servicios sepelio egresos",x,,Sepelio
441312,4004001003001000,Aportes Seg.Social-SS-,gastos,"seccion servicios sepelio egresos",x,,Sepelio
441313,4004001003001000,Despidos-SS-,gastos,"seccion servicios sepelio egresos",x,,Sepelio
441314,4004001003001000,Tickets Canasta-SS-,gastos,"seccion servicios sepelio egresos",x,,Sepelio
441315,4004001003001010,Gtos p/Medicamentos-SS-,gastos,"seccion servicios sepelio egresos",x,,Sepelio
441316,4004001003001010,Ropa de Trabajo y elem. de Protec. -SS-,gastos,"seccion servicios sepelio egresos",x,,Sepelio
44133,4004001003003,Mantenimiento,vista,,,,
441331,4004001003003000,Combustibles y Lub.-SS-,gastos,"seccion servicios sepelio egresos",x,,Sepelio
441332,4004001003003000,Mant.de Redes e Instalac.-SS-,gastos,"seccion servicios sepelio egresos",x,,Sepelio
44134,4004001003004,Serv.de Terceros,vista,,,,
441341,4004001003004000,Mantenim.y Rep.Rodados-SS-,gastos,"seccion servicios sepelio egresos",x,,Sepelio
441342,4004001003004000,Publicidad y Propaganda-SS-,gastos,"seccion servicios sepelio egresos",x,,Sepelio
441345,4004001003004010,Franqueo y Tel???fono-SS-,gastos,"seccion servicios sepelio egresos",x,,Sepelio
441346,4004001003004010,Seguros-SS-,gastos,"seccion servicios sepelio egresos",x,,Sepelio
441347,4004001003004010,Matafuegos-SS-,gastos,"seccion servicios sepelio egresos",x,,Sepelio
441348,4004001003004010,Fletes-SS-,gastos,"seccion servicios sepelio egresos",x,,Sepelio
441349,4004001003004010,Gtos por Serv.Prestados-SS-,gastos,"seccion servicios sepelio egresos",x,,Sepelio
44136,4004001003006,Varios,vista,,,,
441363,4004001003006000,Movilidad y Viaticos-SS-,gastos,"seccion servicios sepelio egresos",x,,Sepelio
441364,4004001003006000,Incobrables-SS-,gastos,"seccion servicios sepelio egresos",x,,Sepelio
441365,4004001003006010,Depreciaciones-SS-,gastos,"seccion servicios sepelio egresos",x,,Sepelio
441366,4004001003006010,Amortizaci??n Nichos-SS-,gastos,"seccion servicios sepelio egresos",x,,Sepelio
441367,4004001003006010,Alquileres-SS-,gastos,"seccion servicios sepelio egresos",x,,Sepelio
441369,4004001003006010,Gastos Diversos-SS-,gastos,"seccion servicios sepelio egresos",x,,Sepelio
44137,4004001003007,Impuestos,vista,,,,
441371,4004001003007000,"Impuestos,Tasas y Cont.-SS-",gastos,"seccion servicios sepelio egresos",x,,Sepelio
441373,4004001003007000,D??bitos y Cr??d. Brios.L.25413-SS-,gastos,"seccion servicios sepelio egresos",x,,Sepelio
44138,4004001003008,Insumos,vista,,,,
441381,4004001003008000,Gtos Energ.El??ctrica-SS-,gastos,"seccion servicios sepelio egresos",x,,Sepelio
441384,4004001003008000,Insumos Varios-SS-,gastos,"seccion servicios sepelio egresos",x,,Sepelio
4416,4004001006,Alquileres p/Concec.Nichos,gastos,"seccion servicios sepelio egresos",x,,Sepelio
4417,4004001007,Gtos.de Comercializaci??n-Indirectos-,vista,,,,
44171,4004001007001,Gtos Ind.de Com.-SS-,gastos,"seccion servicios sepelio egresos",x,,Sepelio
4418,4004001008,Gtos.de Administracion-Indirectos-,vista,,,,
44181,4004001008001,Gtos Ind.de Adm.-SS-,gastos,"seccion servicios sepelio egresos",x,,Sepelio
442,4004002,RESULTADOS ORD.NO OPERATIVOS-SS,vista,,,,
4421,4004002001,Gtos Recuperados-SS-,ingresos,"seccion servicios sepelio ingresos",x,,Sepelio
4422,4004002002,Vtas.Bs.Uso -SS-,ingresos,"seccion servicios sepelio ingresos",x,,Sepelio
443,4004003,RESULTADOS FINANCIEROS-SS-,vista,,,,
4431,4004003001,Int.p/Financiaci??n-SS-,gastos,"seccion servicios sepelio egresos",x,,Sepelio
4432,4004003002,Int.p/Financ.Alquil.Nichos-SS-,gastos,"seccion servicios sepelio egresos",x,,Sepelio
4433,4004003003,Intereses Morat.Cobrados-SS-,ingresos,"seccion servicios sepelio ingresos",x,,Sepelio
4434,4004003004,Intereses Ganados-SS-,ingresos,"seccion servicios sepelio ingresos",x,,Sepelio
4435,4004003005,"Com.,Int.y Gtos Brios-SS-",gastos,"seccion servicios sepelio egresos",x,,Sepelio
4436,4004003006,Result.Fin.y p/Ten.(Inclu??do RECPAM),ingresos,"seccion servicios sepelio ingresos",x,,Sepelio
45,4005,SECC.GAS LICUADO,vista,,,,
451,4005001,RESULTADOS ORD.OPERATIVOS-GAS-,vista,,,,
4511,4005001001,Ingreso operativo seccional,vista,,,,
